customer_id,cluster,cluster_name
3,6,Economizers
4,4,Wellness
5,2,Regulars
7,7,Techies
8,7,Techies
9,1,Vegetarians
10,5,Families
11,2,Regulars
12,6,Economizers
14,1,Vegetarians
15,4,Wellness
16,3,Promoters
18,7,Techies
19,2,Regulars
20,0,Loyalists
22,4,Wellness
24,1,Vegetarians
25,6,Economizers
26,2,Regulars
27,6,Economizers
28,6,Economizers
29,6,Economizers
30,1,Vegetarians
31,2,Regulars
33,2,Regulars
34,2,Regulars
35,2,Regulars
36,5,Families
37,0,Loyalists
38,2,Regulars
39,0,Loyalists
40,5,Families
41,1,Vegetarians
42,6,Economizers
44,4,Wellness
46,4,Wellness
47,6,Economizers
48,3,Promoters
49,5,Families
50,2,Regulars
52,7,Techies
53,3,Promoters
54,7,Techies
55,5,Families
56,6,Economizers
57,3,Promoters
59,6,Economizers
60,2,Regulars
61,1,Vegetarians
62,5,Families
63,1,Vegetarians
64,6,Economizers
66,1,Vegetarians
69,4,Wellness
70,7,Techies
71,1,Vegetarians
72,4,Wellness
73,7,Techies
74,4,Wellness
75,7,Techies
76,2,Regulars
77,1,Vegetarians
78,0,Loyalists
79,0,Loyalists
80,6,Economizers
81,3,Promoters
82,6,Economizers
83,7,Techies
84,3,Promoters
85,2,Regulars
86,6,Economizers
87,0,Loyalists
89,1,Vegetarians
90,7,Techies
91,3,Promoters
92,6,Economizers
94,1,Vegetarians
95,5,Families
97,3,Promoters
100,6,Economizers
102,7,Techies
103,4,Wellness
105,5,Families
106,7,Techies
107,0,Loyalists
108,3,Promoters
109,4,Wellness
110,6,Economizers
111,1,Vegetarians
112,3,Promoters
113,6,Economizers
114,2,Regulars
115,7,Techies
116,7,Techies
117,0,Loyalists
119,1,Vegetarians
120,4,Wellness
121,0,Loyalists
122,5,Families
123,5,Families
124,4,Wellness
125,1,Vegetarians
126,2,Regulars
127,5,Families
128,7,Techies
129,4,Wellness
130,2,Regulars
131,6,Economizers
132,2,Regulars
134,3,Promoters
135,2,Regulars
136,6,Economizers
137,1,Vegetarians
138,3,Promoters
139,1,Vegetarians
141,4,Wellness
142,0,Loyalists
144,7,Techies
145,7,Techies
146,1,Vegetarians
147,0,Loyalists
148,1,Vegetarians
149,5,Families
152,6,Economizers
154,7,Techies
157,2,Regulars
158,7,Techies
159,6,Economizers
160,1,Vegetarians
161,2,Regulars
162,6,Economizers
163,1,Vegetarians
165,5,Families
166,5,Families
168,6,Economizers
170,3,Promoters
171,3,Promoters
172,1,Vegetarians
173,6,Economizers
174,2,Regulars
176,6,Economizers
179,6,Economizers
180,3,Promoters
182,6,Economizers
184,5,Families
185,0,Loyalists
186,5,Families
187,7,Techies
188,1,Vegetarians
189,4,Wellness
191,2,Regulars
192,3,Promoters
193,1,Vegetarians
195,6,Economizers
196,3,Promoters
197,1,Vegetarians
198,3,Promoters
199,2,Regulars
200,0,Loyalists
201,5,Families
202,2,Regulars
203,6,Economizers
204,0,Loyalists
205,4,Wellness
206,0,Loyalists
207,0,Loyalists
208,5,Families
210,6,Economizers
211,5,Families
212,2,Regulars
213,2,Regulars
214,3,Promoters
215,3,Promoters
216,6,Economizers
217,6,Economizers
218,2,Regulars
219,0,Loyalists
220,2,Regulars
221,5,Families
225,6,Economizers
226,1,Vegetarians
229,5,Families
231,5,Families
232,2,Regulars
233,6,Economizers
235,2,Regulars
236,7,Techies
238,3,Promoters
240,7,Techies
241,2,Regulars
242,6,Economizers
243,4,Wellness
244,2,Regulars
245,2,Regulars
248,0,Loyalists
249,6,Economizers
250,1,Vegetarians
251,3,Promoters
254,3,Promoters
256,0,Loyalists
257,3,Promoters
258,2,Regulars
259,3,Promoters
260,7,Techies
261,5,Families
262,3,Promoters
263,7,Techies
264,4,Wellness
265,6,Economizers
266,3,Promoters
270,4,Wellness
272,2,Regulars
274,5,Families
276,6,Economizers
278,0,Loyalists
279,2,Regulars
280,5,Families
282,2,Regulars
283,2,Regulars
284,0,Loyalists
285,1,Vegetarians
286,5,Families
287,0,Loyalists
288,7,Techies
290,2,Regulars
292,2,Regulars
293,0,Loyalists
295,2,Regulars
296,2,Regulars
297,4,Wellness
298,2,Regulars
299,5,Families
300,7,Techies
301,2,Regulars
303,4,Wellness
304,2,Regulars
305,2,Regulars
306,2,Regulars
307,4,Wellness
308,0,Loyalists
310,0,Loyalists
311,4,Wellness
312,3,Promoters
313,6,Economizers
315,2,Regulars
317,4,Wellness
321,2,Regulars
322,0,Loyalists
323,3,Promoters
324,4,Wellness
325,5,Families
326,5,Families
328,6,Economizers
329,4,Wellness
330,2,Regulars
331,7,Techies
336,6,Economizers
337,2,Regulars
338,7,Techies
339,0,Loyalists
340,2,Regulars
341,6,Economizers
342,5,Families
343,3,Promoters
344,5,Families
346,2,Regulars
347,5,Families
350,2,Regulars
351,2,Regulars
352,2,Regulars
353,5,Families
355,2,Regulars
356,4,Wellness
358,1,Vegetarians
360,2,Regulars
361,0,Loyalists
362,2,Regulars
363,7,Techies
364,1,Vegetarians
365,1,Vegetarians
366,1,Vegetarians
367,3,Promoters
368,6,Economizers
369,2,Regulars
370,2,Regulars
371,3,Promoters
372,0,Loyalists
373,0,Loyalists
375,5,Families
376,3,Promoters
377,6,Economizers
378,2,Regulars
379,5,Families
381,6,Economizers
382,3,Promoters
383,5,Families
384,3,Promoters
385,1,Vegetarians
386,6,Economizers
387,6,Economizers
389,1,Vegetarians
390,7,Techies
391,5,Families
392,6,Economizers
393,4,Wellness
394,6,Economizers
395,2,Regulars
396,7,Techies
397,2,Regulars
398,7,Techies
399,4,Wellness
400,4,Wellness
401,6,Economizers
402,3,Promoters
403,4,Wellness
405,7,Techies
406,0,Loyalists
407,3,Promoters
408,7,Techies
410,0,Loyalists
411,2,Regulars
412,7,Techies
413,5,Families
414,0,Loyalists
416,4,Wellness
417,4,Wellness
418,0,Loyalists
419,1,Vegetarians
420,1,Vegetarians
421,2,Regulars
422,5,Families
424,1,Vegetarians
425,4,Wellness
426,7,Techies
427,2,Regulars
428,2,Regulars
429,2,Regulars
431,5,Families
432,4,Wellness
434,3,Promoters
435,5,Families
436,0,Loyalists
437,5,Families
438,0,Loyalists
440,3,Promoters
441,4,Wellness
442,6,Economizers
443,0,Loyalists
445,7,Techies
446,3,Promoters
447,2,Regulars
448,6,Economizers
449,2,Regulars
450,0,Loyalists
451,5,Families
452,0,Loyalists
453,7,Techies
455,0,Loyalists
456,4,Wellness
457,1,Vegetarians
460,1,Vegetarians
461,0,Loyalists
462,1,Vegetarians
464,2,Regulars
465,7,Techies
467,4,Wellness
469,5,Families
470,7,Techies
471,3,Promoters
472,7,Techies
473,5,Families
474,0,Loyalists
475,1,Vegetarians
476,2,Regulars
477,0,Loyalists
479,6,Economizers
480,4,Wellness
481,7,Techies
482,3,Promoters
484,0,Loyalists
485,3,Promoters
486,2,Regulars
487,0,Loyalists
488,0,Loyalists
489,2,Regulars
490,0,Loyalists
491,6,Economizers
492,2,Regulars
494,6,Economizers
495,2,Regulars
496,1,Vegetarians
497,5,Families
498,2,Regulars
499,6,Economizers
501,6,Economizers
502,2,Regulars
503,5,Families
504,5,Families
505,0,Loyalists
506,2,Regulars
508,0,Loyalists
509,7,Techies
510,0,Loyalists
511,6,Economizers
513,6,Economizers
514,2,Regulars
515,1,Vegetarians
516,7,Techies
517,1,Vegetarians
518,2,Regulars
520,5,Families
521,2,Regulars
522,2,Regulars
523,5,Families
524,3,Promoters
526,4,Wellness
527,2,Regulars
528,3,Promoters
529,3,Promoters
530,6,Economizers
531,5,Families
532,6,Economizers
533,2,Regulars
534,5,Families
535,1,Vegetarians
536,1,Vegetarians
537,5,Families
538,6,Economizers
539,6,Economizers
540,3,Promoters
541,3,Promoters
542,3,Promoters
543,6,Economizers
545,2,Regulars
547,1,Vegetarians
548,2,Regulars
549,4,Wellness
550,3,Promoters
551,2,Regulars
552,6,Economizers
553,5,Families
554,6,Economizers
556,3,Promoters
557,0,Loyalists
558,5,Families
559,2,Regulars
561,3,Promoters
562,2,Regulars
563,3,Promoters
565,6,Economizers
566,1,Vegetarians
568,7,Techies
569,4,Wellness
570,5,Families
571,0,Loyalists
573,0,Loyalists
574,3,Promoters
575,6,Economizers
576,5,Families
577,6,Economizers
578,2,Regulars
579,0,Loyalists
580,5,Families
581,2,Regulars
582,5,Families
583,2,Regulars
584,6,Economizers
585,0,Loyalists
586,1,Vegetarians
587,6,Economizers
588,3,Promoters
589,7,Techies
590,6,Economizers
591,7,Techies
592,3,Promoters
593,3,Promoters
594,6,Economizers
595,5,Families
596,6,Economizers
597,0,Loyalists
598,7,Techies
603,2,Regulars
604,2,Regulars
605,3,Promoters
606,6,Economizers
609,5,Families
611,1,Vegetarians
613,7,Techies
614,2,Regulars
615,2,Regulars
617,6,Economizers
618,6,Economizers
619,6,Economizers
621,7,Techies
622,6,Economizers
623,1,Vegetarians
624,3,Promoters
625,3,Promoters
626,6,Economizers
627,3,Promoters
628,0,Loyalists
629,1,Vegetarians
631,6,Economizers
632,6,Economizers
633,2,Regulars
634,7,Techies
635,1,Vegetarians
636,1,Vegetarians
637,2,Regulars
638,7,Techies
639,5,Families
640,6,Economizers
641,1,Vegetarians
642,1,Vegetarians
643,2,Regulars
644,4,Wellness
645,6,Economizers
646,6,Economizers
647,3,Promoters
648,7,Techies
650,6,Economizers
653,6,Economizers
654,5,Families
655,2,Regulars
656,5,Families
