customer_id,cluster,cluster_name
3,0,Value Seekers
4,2,Traditional Shoppers
5,1,Wellness
7,5,Tech Enthusiasts
8,5,Tech Enthusiasts
9,4,Promotion Hunters
10,3,Vegetarians
11,1,Wellness
12,0,Value Seekers
14,4,Promotion Hunters
15,2,Traditional Shoppers
16,0,Value Seekers
18,5,Tech Enthusiasts
19,1,Wellness
20,6,Large Families
22,2,Traditional Shoppers
24,4,Promotion Hunters
25,0,Value Seekers
26,6,Large Families
27,0,Value Seekers
28,0,Value Seekers
29,6,Large Families
30,4,Promotion Hunters
31,1,Wellness
33,1,Wellness
34,1,Wellness
35,1,Wellness
36,3,Vegetarians
37,6,Large Families
38,1,Wellness
39,6,Large Families
40,3,Vegetarians
41,4,Promotion Hunters
42,1,Wellness
44,2,Traditional Shoppers
46,2,Traditional Shoppers
47,0,Value Seekers
48,0,Value Seekers
49,3,Vegetarians
50,1,Wellness
52,5,Tech Enthusiasts
53,0,Value Seekers
54,5,Tech Enthusiasts
55,3,Vegetarians
56,1,Wellness
57,0,Value Seekers
59,1,Wellness
60,1,Wellness
61,4,Promotion Hunters
62,3,Vegetarians
63,4,Promotion Hunters
64,0,Value Seekers
66,4,Promotion Hunters
69,2,Traditional Shoppers
70,5,Tech Enthusiasts
71,4,Promotion Hunters
72,2,Traditional Shoppers
73,5,Tech Enthusiasts
74,2,Traditional Shoppers
75,5,Tech Enthusiasts
76,1,Wellness
77,4,Promotion Hunters
78,6,Large Families
79,6,Large Families
80,1,Wellness
81,0,Value Seekers
82,0,Value Seekers
83,5,Tech Enthusiasts
84,0,Value Seekers
85,1,Wellness
86,6,Large Families
87,6,Large Families
89,4,Promotion Hunters
90,5,Tech Enthusiasts
91,0,Value Seekers
92,6,Large Families
94,4,Promotion Hunters
95,3,Vegetarians
97,0,Value Seekers
100,0,Value Seekers
102,5,Tech Enthusiasts
103,2,Traditional Shoppers
105,3,Vegetarians
106,5,Tech Enthusiasts
107,6,Large Families
108,0,Value Seekers
109,2,Traditional Shoppers
110,1,Wellness
111,4,Promotion Hunters
112,0,Value Seekers
113,1,Wellness
114,1,Wellness
115,5,Tech Enthusiasts
116,5,Tech Enthusiasts
117,6,Large Families
119,4,Promotion Hunters
120,2,Traditional Shoppers
121,6,Large Families
122,3,Vegetarians
123,3,Vegetarians
124,2,Traditional Shoppers
125,4,Promotion Hunters
126,1,Wellness
127,3,Vegetarians
128,5,Tech Enthusiasts
129,2,Traditional Shoppers
130,1,Wellness
131,1,Wellness
132,1,Wellness
134,0,Value Seekers
135,1,Wellness
136,0,Value Seekers
137,4,Promotion Hunters
138,0,Value Seekers
139,4,Promotion Hunters
141,2,Traditional Shoppers
142,6,Large Families
144,5,Tech Enthusiasts
145,5,Tech Enthusiasts
146,4,Promotion Hunters
147,6,Large Families
148,4,Promotion Hunters
149,3,Vegetarians
152,1,Wellness
154,5,Tech Enthusiasts
157,1,Wellness
158,5,Tech Enthusiasts
159,1,Wellness
160,4,Promotion Hunters
161,1,Wellness
162,0,Value Seekers
163,4,Promotion Hunters
165,3,Vegetarians
166,3,Vegetarians
168,1,Wellness
170,0,Value Seekers
171,0,Value Seekers
172,4,Promotion Hunters
173,0,Value Seekers
174,1,Wellness
176,1,Wellness
179,0,Value Seekers
180,0,Value Seekers
182,0,Value Seekers
184,3,Vegetarians
185,6,Large Families
186,3,Vegetarians
187,5,Tech Enthusiasts
188,4,Promotion Hunters
189,2,Traditional Shoppers
191,1,Wellness
192,0,Value Seekers
193,4,Promotion Hunters
195,1,Wellness
196,0,Value Seekers
197,4,Promotion Hunters
198,0,Value Seekers
199,1,Wellness
200,6,Large Families
201,3,Vegetarians
202,1,Wellness
203,1,Wellness
204,6,Large Families
205,2,Traditional Shoppers
206,6,Large Families
207,6,Large Families
208,3,Vegetarians
210,1,Wellness
211,3,Vegetarians
212,1,Wellness
213,1,Wellness
214,0,Value Seekers
215,0,Value Seekers
216,0,Value Seekers
217,1,Wellness
218,1,Wellness
219,6,Large Families
220,1,Wellness
221,3,Vegetarians
225,0,Value Seekers
226,4,Promotion Hunters
229,3,Vegetarians
231,3,Vegetarians
232,1,Wellness
233,0,Value Seekers
235,1,Wellness
236,5,Tech Enthusiasts
238,0,Value Seekers
240,5,Tech Enthusiasts
241,1,Wellness
242,0,Value Seekers
243,2,Traditional Shoppers
244,1,Wellness
245,1,Wellness
248,6,Large Families
249,1,Wellness
250,4,Promotion Hunters
251,0,Value Seekers
254,0,Value Seekers
256,6,Large Families
257,6,Large Families
258,4,Promotion Hunters
259,0,Value Seekers
260,5,Tech Enthusiasts
261,3,Vegetarians
262,0,Value Seekers
263,5,Tech Enthusiasts
264,2,Traditional Shoppers
265,0,Value Seekers
266,0,Value Seekers
270,2,Traditional Shoppers
272,1,Wellness
274,3,Vegetarians
276,0,Value Seekers
278,6,Large Families
279,6,Large Families
280,3,Vegetarians
282,1,Wellness
283,1,Wellness
284,6,Large Families
285,4,Promotion Hunters
286,3,Vegetarians
287,6,Large Families
288,5,Tech Enthusiasts
290,1,Wellness
292,1,Wellness
293,6,Large Families
295,1,Wellness
296,1,Wellness
297,2,Traditional Shoppers
298,1,Wellness
299,3,Vegetarians
300,5,Tech Enthusiasts
301,1,Wellness
303,2,Traditional Shoppers
304,1,Wellness
305,1,Wellness
306,1,Wellness
307,2,Traditional Shoppers
308,6,Large Families
310,6,Large Families
311,2,Traditional Shoppers
312,0,Value Seekers
313,0,Value Seekers
315,1,Wellness
317,2,Traditional Shoppers
321,1,Wellness
322,6,Large Families
323,0,Value Seekers
324,2,Traditional Shoppers
325,3,Vegetarians
326,3,Vegetarians
328,1,Wellness
329,2,Traditional Shoppers
330,1,Wellness
331,5,Tech Enthusiasts
336,0,Value Seekers
337,1,Wellness
338,5,Tech Enthusiasts
339,6,Large Families
340,6,Large Families
341,1,Wellness
342,3,Vegetarians
343,0,Value Seekers
344,3,Vegetarians
346,1,Wellness
347,3,Vegetarians
350,1,Wellness
351,1,Wellness
352,1,Wellness
353,3,Vegetarians
355,1,Wellness
356,2,Traditional Shoppers
358,4,Promotion Hunters
360,1,Wellness
361,6,Large Families
362,1,Wellness
363,5,Tech Enthusiasts
364,4,Promotion Hunters
365,4,Promotion Hunters
366,4,Promotion Hunters
367,0,Value Seekers
368,1,Wellness
369,1,Wellness
370,1,Wellness
371,0,Value Seekers
372,6,Large Families
373,6,Large Families
375,3,Vegetarians
376,0,Value Seekers
377,0,Value Seekers
378,1,Wellness
379,3,Vegetarians
381,6,Large Families
382,0,Value Seekers
383,3,Vegetarians
384,0,Value Seekers
385,4,Promotion Hunters
386,1,Wellness
387,0,Value Seekers
389,4,Promotion Hunters
390,5,Tech Enthusiasts
391,3,Vegetarians
392,0,Value Seekers
393,2,Traditional Shoppers
394,1,Wellness
395,1,Wellness
396,5,Tech Enthusiasts
397,1,Wellness
398,5,Tech Enthusiasts
399,2,Traditional Shoppers
400,2,Traditional Shoppers
401,0,Value Seekers
402,0,Value Seekers
403,2,Traditional Shoppers
405,5,Tech Enthusiasts
406,6,Large Families
407,0,Value Seekers
408,5,Tech Enthusiasts
410,6,Large Families
411,1,Wellness
412,5,Tech Enthusiasts
413,3,Vegetarians
414,3,Vegetarians
416,2,Traditional Shoppers
417,2,Traditional Shoppers
418,6,Large Families
419,4,Promotion Hunters
420,4,Promotion Hunters
421,1,Wellness
422,3,Vegetarians
424,4,Promotion Hunters
425,2,Traditional Shoppers
426,5,Tech Enthusiasts
427,1,Wellness
428,1,Wellness
429,1,Wellness
431,3,Vegetarians
432,2,Traditional Shoppers
434,0,Value Seekers
435,3,Vegetarians
436,6,Large Families
437,3,Vegetarians
438,6,Large Families
440,0,Value Seekers
441,2,Traditional Shoppers
442,1,Wellness
443,6,Large Families
445,5,Tech Enthusiasts
446,0,Value Seekers
447,1,Wellness
448,1,Wellness
449,1,Wellness
450,6,Large Families
451,3,Vegetarians
452,6,Large Families
453,5,Tech Enthusiasts
455,6,Large Families
456,2,Traditional Shoppers
457,4,Promotion Hunters
460,4,Promotion Hunters
461,6,Large Families
462,4,Promotion Hunters
464,1,Wellness
465,5,Tech Enthusiasts
467,2,Traditional Shoppers
469,3,Vegetarians
470,5,Tech Enthusiasts
471,0,Value Seekers
472,5,Tech Enthusiasts
473,3,Vegetarians
474,6,Large Families
475,4,Promotion Hunters
476,1,Wellness
477,6,Large Families
479,1,Wellness
480,2,Traditional Shoppers
481,5,Tech Enthusiasts
482,0,Value Seekers
484,6,Large Families
485,0,Value Seekers
486,1,Wellness
487,6,Large Families
488,6,Large Families
489,1,Wellness
490,6,Large Families
491,6,Large Families
492,1,Wellness
494,0,Value Seekers
495,1,Wellness
496,4,Promotion Hunters
497,3,Vegetarians
498,1,Wellness
499,0,Value Seekers
501,1,Wellness
502,1,Wellness
503,3,Vegetarians
504,3,Vegetarians
505,6,Large Families
506,1,Wellness
508,6,Large Families
509,5,Tech Enthusiasts
510,6,Large Families
511,1,Wellness
513,1,Wellness
514,1,Wellness
515,4,Promotion Hunters
516,5,Tech Enthusiasts
517,4,Promotion Hunters
518,1,Wellness
520,3,Vegetarians
521,1,Wellness
522,1,Wellness
523,3,Vegetarians
524,0,Value Seekers
526,2,Traditional Shoppers
527,1,Wellness
528,0,Value Seekers
529,0,Value Seekers
530,0,Value Seekers
531,3,Vegetarians
532,6,Large Families
533,1,Wellness
534,3,Vegetarians
535,4,Promotion Hunters
536,4,Promotion Hunters
537,3,Vegetarians
538,6,Large Families
539,1,Wellness
540,0,Value Seekers
541,0,Value Seekers
542,0,Value Seekers
543,1,Wellness
545,1,Wellness
547,4,Promotion Hunters
548,1,Wellness
549,2,Traditional Shoppers
550,0,Value Seekers
551,1,Wellness
552,1,Wellness
553,3,Vegetarians
554,0,Value Seekers
556,0,Value Seekers
557,6,Large Families
558,3,Vegetarians
559,1,Wellness
561,0,Value Seekers
562,1,Wellness
563,0,Value Seekers
565,0,Value Seekers
566,4,Promotion Hunters
568,5,Tech Enthusiasts
569,2,Traditional Shoppers
570,3,Vegetarians
571,6,Large Families
573,6,Large Families
574,0,Value Seekers
575,1,Wellness
576,3,Vegetarians
577,1,Wellness
578,1,Wellness
579,6,Large Families
580,3,Vegetarians
581,1,Wellness
582,3,Vegetarians
583,1,Wellness
584,0,Value Seekers
585,6,Large Families
586,4,Promotion Hunters
587,5,Tech Enthusiasts
588,0,Value Seekers
589,5,Tech Enthusiasts
590,1,Wellness
591,5,Tech Enthusiasts
592,0,Value Seekers
593,0,Value Seekers
594,0,Value Seekers
595,3,Vegetarians
596,1,Wellness
597,6,Large Families
598,5,Tech Enthusiasts
603,1,Wellness
604,1,Wellness
605,0,Value Seekers
606,0,Value Seekers
609,3,Vegetarians
611,4,Promotion Hunters
613,5,Tech Enthusiasts
614,1,Wellness
615,1,Wellness
617,1,Wellness
618,0,Value Seekers
619,1,Wellness
621,5,Tech Enthusiasts
622,0,Value Seekers
623,4,Promotion Hunters
624,0,Value Seekers
625,0,Value Seekers
626,1,Wellness
627,0,Value Seekers
628,6,Large Families
629,4,Promotion Hunters
631,6,Large Families
632,0,Value Seekers
633,1,Wellness
634,5,Tech Enthusiasts
635,4,Promotion Hunters
636,4,Promotion Hunters
637,1,Wellness
638,5,Tech Enthusiasts
639,3,Vegetarians
640,1,Wellness
641,4,Promotion Hunters
642,4,Promotion Hunters
643,1,Wellness
644,2,Traditional Shoppers
645,0,Value Seekers
646,1,Wellness
647,0,Value Seekers
648,5,Tech Enthusiasts
650,1,Wellness
653,1,Wellness
654,3,Vegetarians
655,1,Wellness
656,3,Vegetarians
657,0,Value Seekers
658,1,Wellness
659,0,Value Seekers
660,2,Traditional Shoppers
662,3,Vegetarians
663,0,Value Seekers
664,6,Large Families
665,1,Wellness
666,0,Value Seekers
667,0,Value Seekers
668,2,Traditional Shoppers
669,4,Promotion Hunters
670,0,Value Seekers
671,6,Large Families
673,5,Tech Enthusiasts
674,4,Promotion Hunters
675,2,Traditional Shoppers
676,4,Promotion Hunters
677,1,Wellness
678,4,Promotion Hunters
679,1,Wellness
680,1,Wellness
681,1,Wellness
682,4,Promotion Hunters
685,2,Traditional Shoppers
686,0,Value Seekers
687,0,Value Seekers
688,0,Value Seekers
689,1,Wellness
691,0,Value Seekers
692,5,Tech Enthusiasts
694,6,Large Families
695,6,Large Families
696,0,Value Seekers
697,3,Vegetarians
699,0,Value Seekers
700,0,Value Seekers
701,1,Wellness
703,5,Tech Enthusiasts
704,2,Traditional Shoppers
705,5,Tech Enthusiasts
707,4,Promotion Hunters
708,2,Traditional Shoppers
