customer_id,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,customer_loyalty_flag,latitude,longitude,typical_hour_sin,typical_hour_cos,customer_age,education_level,is_male,tenure,total_children,lifetime_spend_technology,log_total_spend,total_spend,electronics_share,vegetables_share,nonalcohol_drinks_share,alcohol_drinks_share,meat_share,fish_share,hygiene_share,videogames_share,petfood_share,technology_share
221,4,1,1,4,14984.0,7280.0,1225.0,565.0,2187.0,3052.0,1645.0,1557.0,444.0,663.0,201,0.1325526818816176,1,38.72748817976792,-9.189908349411407,0.49999999999999994,-0.8660254037844387,73.0,22,1,5.0,5.0,7724.0,10.62927131837234,41326.0,0.17616028650240137,0.029642355901846384,0.013671780477178128,0.05292067947537799,0.07385181241831441,0.039805449353908,0.037676039297285566,0.01074384164932228,0.01604316894932584,0.18690412815172364
286,6,1,2,1,34969.0,6018.0,615.0,1812.0,1186.0,1161.0,1990.0,341.0,343.0,503.0,203,0.1270267562632488,1,38.775748512193275,-9.1690225844845,0.9659258262890684,-0.25881904510252063,84.0,22,1,17.0,7.0,6361.0,10.920528187510426,55299.0,0.10882656105895065,0.011121358433242714,0.03276731948135902,0.021447042441993264,0.020994954700804536,0.03598618419862276,0.006166476789814253,0.006202643809109351,0.009096005352717212,0.11502920486806
422,2,0,4,3,15305.0,4220.0,771.0,794.0,3018.0,1595.0,452.0,941.0,518.0,559.0,262,0.1935473472730516,1,38.75044357501903,-9.152253122408013,-0.2588190451025208,-0.9659258262890683,48.0,15,1,10.0,2.0,4738.0,10.401592611892738,32911.0,0.12822460575487582,0.023426817781281816,0.024125672267623556,0.09170186259910314,0.048464039378916336,0.013734009905498548,0.028592263984677287,0.015739418431522673,0.01698520251587099,0.1439640241863985
520,5,3,0,5,14492.0,3733.0,490.0,688.0,1166.0,1406.0,957.0,719.0,289.0,914.0,99,0.1777040447000753,1,38.71686515870726,-9.128193430110684,0.9659258262890684,-0.25881904510252063,37.0,15,1,7.0,8.0,4022.0,10.270800709494713,28876.0,0.12927690815898002,0.016969109294910318,0.023826014683465912,0.0403795539548274,0.04869095442580389,0.03314170937801872,0.024899570577633708,0.010008311400467514,0.0316525834603021,0.13928521955944753
523,3,6,0,4,7426.0,5050.0,334.0,973.0,1802.0,1095.0,848.0,902.0,1654.0,45.0,191,0.2828160357707628,1,38.745124552206214,-9.125814685601194,0.25881904510252096,-0.9659258262890682,61.0,17,1,13.0,9.0,6704.0,10.197425019150417,26833.0,0.18820109566571452,0.012447359594524485,0.036261320016384206,0.06715611374051833,0.040807960347318296,0.031602877054361565,0.033615324413955344,0.061640517273483526,0.0016770394663281492,0.24984161293919804
556,1,0,0,2,18406.0,19616.0,256.0,307.0,347.0,759.0,576.0,1023.0,760.0,308.0,323,1.0,1,38.71273066874975,-9.119530391636625,-0.7071067811865477,0.7071067811865471,66.0,22,0,5.0,1.0,20376.0,11.046674784593801,62734.0,0.31268530621348667,0.004080721777663774,0.004893678069307729,0.005531290847067694,0.01209870245799533,0.009181623999743491,0.016306946791211096,0.01211464277743933,0.004909618388751728,0.324799948990926
591,0,0,1,2,33092.0,24632.0,1156.0,40.0,1026.0,524.0,930.0,543.0,562.0,391.0,286,0.4140935948291909,1,38.763820566562146,-9.18589563432286,0.25881904510252096,-0.9659258262890682,82.0,17,0,5.0,0.0,25194.0,11.386125650065745,88090.0,0.27962311272558976,0.013122942445224984,0.0004540810534679925,0.011647179021454008,0.005948461800430702,0.010557384493130826,0.006164150300827998,0.006379838801225295,0.004438642297649627,0.2860029515268151
717,1,1,1,6,7002.0,5582.0,512.0,1346.0,1108.0,2226.0,2379.0,824.0,336.0,160.0,278,0.1543906676882667,1,38.75716056565515,-9.167296966454709,0.25881904510252096,-0.9659258262890682,40.0,22,0,15.0,2.0,5918.0,10.218079290294767,27393.0,0.20377468696374848,0.018690906435943965,0.04913664074761832,0.04044828970903499,0.08126163618439701,0.08684700470920058,0.03008067754534732,0.012265907348588227,0.005840908261232489,0.21604059431233671
787,3,1,2,1,11309.0,12983.0,167.0,171.0,1124.0,675.0,1131.0,148.20000000000005,1650.0,86.0,78,0.11832929737157749,1,38.777774744450966,-9.16107441684565,-0.7071067811865477,0.7071067811865471,72.0,12,1,8.0,4.0,14633.0,10.693720608147297,44077.2,0.2945513780366506,0.0037888069115089465,0.0038795567776528732,0.02550071238644345,0.015314039911787657,0.02565952465219532,0.0033622825406324913,0.03743431978436983,0.0019511221220944275,0.33198569782102044
806,1,1,2,1,3733.0,6993.0,132.0,1093.0,1792.0,1124.0,920.0,200.0,1755.0,266.0,59,0.3325850453641921,1,38.759077791479655,-9.168482072261709,-0.9659258262890683,0.2588190451025203,24.0,12,0,7.7999999999999545,2.0,8748.0,10.194551400334317,26756.0,0.261361937509246,0.004933472865897393,0.040850650321407965,0.06697563163400098,0.04200926894900508,0.03438481088352729,0.007474958887723323,0.06559276423977216,0.00994169532067202,0.3269547017490182
811,0,0,1,2,104670.0,7096.0,842.0,873.0,216.9999999999999,641.0,33.0,1187.0,308.0,499.0,107,0.5829512451943853,1,38.78470528566145,-9.117762526658565,0.7071067811865476,-0.7071067811865475,59.0,22,0,7.0,0.0,7404.0,11.726188363003732,123770.0,0.05733214833965765,0.006802940938837618,0.00705340551022,0.0017532519996766773,0.00517896097600346,0.0002666235759876976,0.009590369233254457,0.002488486709218511,0.004031671649026095,0.05982063504887616
818,7,0,0,4,16998.0,4638.0,322.0,722.0,924.0,1825.0,1838.0,1413.0,467.0,944.0,192,0.2203745649676908,1,38.786858591578415,-9.15622134686236,0.25881904510252096,-0.9659258262890682,74.0,22,0,19.0,7.0,5105.0,10.468716130681411,35196.0,0.13177633822021487,0.009148766905327552,0.020513694738032585,0.02625298329354863,0.05185248323671672,0.05222184339127963,0.04014660756903053,0.013268553244683127,0.02682122968518388,0.145044891464898
853,1,0,1,4,33660.0,4811.0,277.0,487.0,906.0,2440.0,1059.0,292.0,255.0,282.0,361,0.1662911077648505,1,38.71875834734672,-9.166584749969962,-0.7071067811865477,0.7071067811865471,37.0,15,1,16.0,1.0,5066.0,10.8104549569494,49535.0,0.09712324618954334,0.005592005652567762,0.009831432320579423,0.018290097910564594,0.04925810033308787,0.021378823054401662,0.005894821843140024,0.005147875239728445,0.005692944382758516,0.10227112142927178
919,1,1,0,1,10845.0,6845.0,742.0,329.0,382.0,951.0,952.0,226.0,899.0,316.0,333,1.0,1,38.72785271878905,-9.189865246137831,-0.2588190451025208,-0.9659258262890683,84.0,22,1,5.0,2.0,7744.0,10.316656245029325,30231.0,0.2264232079652587,0.02454434190068984,0.01088286857860776,0.012636035857228462,0.03145777513147714,0.031490853759375645,0.007475769905061865,0.02973768648075494,0.01045284641592721,0.25616089444601364
937,0,2,1,1,17701.0,13954.0,205.0,40.0,338.0,864.0,1403.0,1076.0,721.0,210.0,235,0.8848549832749362,1,38.762423115868216,-9.14182913919698,-0.2588190451025208,-0.9659258262890683,78.0,17,0,6.0,2.0,14675.0,10.843260408557487,51187.0,0.2726082794458998,0.004004923125011428,0.0007814484146363761,0.006603239103677379,0.016879285756145727,0.027409303143370894,0.02102096235371852,0.014085607673820682,0.004102604176840975,0.2866938871197205
950,2,2,0,4,46858.0,3379.0,641.0,667.0,2342.0,1240.0,1150.0,1562.0,295.0,917.0,372,0.258658580529436,1,38.776777751140536,-9.19231351638816,-0.7071067811865472,-0.7071067811865479,36.0,15,0,8.0,4.0,3674.0,11.046531313714157,62725.0,0.053870067756069534,0.01021921084097087,0.01063371861299153,0.0373375846950917,0.019768832204062215,0.018333997608606087,0.024902351534471918,0.004703068951772866,0.01461937026703633,0.0585731367078424
999,6,3,2,1,22757.0,5334.0,1709.0,1077.0,1260.0,1710.0,1799.0,1169.0,361.0,1073.0,352,0.1109840315509199,1,38.77162741473345,-9.131447451921597,0.7071067811865476,-0.7071067811865475,59.0,15,0,27.0,9.0,5695.0,10.690694130998745,43944.0,0.1213817586018293,0.03889040597122727,0.024508465319491968,0.02867285636263684,0.03891316220643571,0.04093846713998705,0.026602038958668625,0.008215000910247539,0.0244174403786582,0.12959675951207683
1007,1,0,2,1,2153.0,1672.0,1808.0,429.0,762.0,2.0,50.0,309.0,2004.0,187.0,78,0.1543770172995369,1,38.741630909303126,-9.17391447028365,-0.9659258262890683,-0.25881904510252063,51.0,17,0,16.0,1.0,3676.0,9.47677327138879,13052.0,0.1281029727243885,0.13852283174981725,0.03286852589638916,0.058381857186593326,0.00015323322096218723,0.00383083052405468,0.023674532638657923,0.15353968740411159,0.014327306159964505,0.2816426601285001
1023,0,3,0,3,27810.0,4692.0,336.0,798.0,2567.0,1736.0,1542.0,1435.0,431.00000000000006,757.0,363,0.3085773015339126,1,38.70778885525256,-9.119348524973612,1.249000902703301e-16,-1.0,51.0,17,1,23.0,3.0,5123.0,10.762742216027,47227.0,0.09934994812287477,0.00711457429012914,0.016897113939056706,0.05435450060345685,0.03675863383233389,0.032650814152914084,0.030385161030759868,0.009126135473350177,0.016028966481034995,0.10847608359622495
